Iteration,Original_Inference_Time,Original_Accuracy,PTQ_Inference_Time,PTQ_Accuracy,QAT_Inference_Time,QAT_Accuracy,Original_Inference_Time_Mean,Original_Accuracy_Mean,PTQ_Inference_Time_Mean,PTQ_Accuracy_Mean,QAT_Inference_Time_Mean,QAT_Accuracy_Mean,Original_Inference_Time_Max,Original_Accuracy_Max,PTQ_Inference_Time_Max,PTQ_Accuracy_Max,QAT_Inference_Time_Max,QAT_Accuracy_Max,Original_Inference_Time_Min,Original_Accuracy_Min,PTQ_Inference_Time_Min,PTQ_Accuracy_Min,QAT_Inference_Time_Min
1,111.24269914627075,78.99,47.834423303604126,75.08,46.7501118183136,85.98,113.15162625312806,78.99,47.06539115905762,75.08,47.27663049697876,85.98,117.29656553268433,78.99,48.674333810806274,75.08,48.4896445274353,85.98,111.10444259643555,78.99,45.49363327026367,75.08,46.61030578613281
2,111.10444259643555,78.99,45.49363327026367,75.08,48.4896445274353,85.98,113.15162625312806,78.99,47.06539115905762,75.08,47.27663049697876,85.98,117.29656553268433,78.99,48.674333810806274,75.08,48.4896445274353,85.98,111.10444259643555,78.99,45.49363327026367,75.08,46.61030578613281
3,113.87418723106384,78.99,46.862894773483276,75.08,46.61470437049866,85.98,113.15162625312806,78.99,47.06539115905762,75.08,47.27663049697876,85.98,117.29656553268433,78.99,48.674333810806274,75.08,48.4896445274353,85.98,111.10444259643555,78.99,45.49363327026367,75.08,46.61030578613281
4,117.29656553268433,78.99,48.674333810806274,75.08,47.91838598251343,85.98,113.15162625312806,78.99,47.06539115905762,75.08,47.27663049697876,85.98,117.29656553268433,78.99,48.674333810806274,75.08,48.4896445274353,85.98,111.10444259643555,78.99,45.49363327026367,75.08,46.61030578613281
5,112.24023675918579,78.99,46.46167063713074,75.08,46.61030578613281,85.98,113.15162625312806,78.99,47.06539115905762,75.08,47.27663049697876,85.98,117.29656553268433,78.99,48.674333810806274,75.08,48.4896445274353,85.98,111.10444259643555,78.99,45.49363327026367,75.08,46.61030578613281
